epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7492,1.78771,3.98882,1.82802,0.00367,0.88,0.03727,0.01585,1.55987,3.75473,2.02107,0.000658333,0.000658333,0.000658333
2,93.1042,1.67266,3.20092,1.78537,0.12979,0.12,0.10719,0.0604,1.65658,3.2001,1.9344,0.00131188,0.00131188,0.00131188
3,140.439,1.66782,3.83636,1.69701,0.11269,0.08,0.04348,0.02245,1.99378,3.58858,1.91077,0.00195223,0.00195223,0.00195223
4,187.375,1.67306,3.46036,1.67985,0.0891,0.08,0.05509,0.01505,1.82897,4.21476,1.99117,0.0019406,0.0019406,0.0019406
5,239.352,1.89802,3.34221,1.87163,0.06974,0.16,0.02141,0.01066,1.65788,5.10862,2.0086,0.0019208,0.0019208,0.0019208
6,289.737,1.92541,3.2877,1.76963,0.26924,0.2,0.13446,0.06581,2.10439,3.81213,1.94011,0.001901,0.001901,0.001901
7,354.382,2.03069,3.22604,1.91835,0.69518,0.12,0.14453,0.07771,2.14438,3.44431,2.10143,0.0018812,0.0018812,0.0018812
8,410.538,2.03957,3.11132,2.00639,0.28818,0.2,0.13897,0.06069,2.08059,4.45705,2.13404,0.0018614,0.0018614,0.0018614
9,466.724,1.8907,3.17882,1.84714,0.10203,0.2,0.06742,0.02023,1.92385,5.22128,1.95591,0.0018416,0.0018416,0.0018416
10,521.112,1.86481,3.30912,1.85942,0.2505,0.2,0.1543,0.07402,1.98392,3.64609,1.80655,0.0018218,0.0018218,0.0018218
11,576.192,1.8433,3.15064,1.85512,0.34944,0.4,0.27187,0.12768,1.89003,4.06836,1.66856,0.001802,0.001802,0.001802
12,630.391,1.91327,2.97942,1.91255,0.14289,0.32,0.09601,0.03296,1.8951,5.12461,1.81947,0.0017822,0.0017822,0.0017822
13,685.601,1.82739,3.02109,1.94753,0.28297,0.31585,0.23359,0.07759,1.77151,2.73268,1.82812,0.0017624,0.0017624,0.0017624
14,741.092,1.73896,2.79038,1.82022,0.21398,0.28,0.26751,0.11777,1.74264,2.61866,1.77688,0.0017426,0.0017426,0.0017426
15,797.083,1.70397,2.55994,1.74583,0.20961,0.48,0.23338,0.09912,1.78804,3.58087,1.68014,0.0017228,0.0017228,0.0017228
16,852.417,1.86491,2.74228,1.89926,0.32874,0.44,0.23714,0.11861,1.75147,3.48883,1.70529,0.001703,0.001703,0.001703
17,906.738,1.63544,2.69877,1.59321,0.35964,0.36,0.27237,0.13234,1.83449,2.53055,1.72701,0.0016832,0.0016832,0.0016832
18,953.11,1.75743,2.62534,1.79323,0.63658,0.32,0.43604,0.19233,1.647,2.33058,1.71014,0.0016634,0.0016634,0.0016634
19,1010.08,1.74725,2.63562,1.7099,0.42608,0.52,0.42696,0.13744,1.83644,2.39148,1.73835,0.0016436,0.0016436,0.0016436
20,1080.4,1.6263,2.48155,1.64671,0.29149,0.48,0.26268,0.08573,1.85069,2.79,1.89381,0.0016238,0.0016238,0.0016238
21,1151.4,1.59117,2.40132,1.63882,0.3471,0.4,0.30169,0.14667,1.82228,2.96348,1.69872,0.001604,0.001604,0.001604
22,1208.22,1.7107,2.46571,1.76929,0.41313,0.64,0.43884,0.21539,1.6508,3.3583,1.6059,0.0015842,0.0015842,0.0015842
23,1262.74,1.5127,2.21882,1.55274,0.23062,0.44,0.25619,0.10455,1.87682,2.98624,1.79405,0.0015644,0.0015644,0.0015644
24,1323.37,1.50093,2.30926,1.55054,0.41299,0.36,0.36246,0.16552,1.76526,2.79572,1.76765,0.0015446,0.0015446,0.0015446
25,1404.73,1.54015,2.38076,1.62091,0.53202,0.48,0.45451,0.24599,1.49279,2.61842,1.50143,0.0015248,0.0015248,0.0015248
26,1460.04,1.53944,2.15089,1.5693,0.608,0.44,0.47942,0.2669,1.45621,2.49649,1.48591,0.001505,0.001505,0.001505
27,1511.8,1.46293,2.16483,1.52166,0.53555,0.48,0.47197,0.23603,1.56722,2.69162,1.56857,0.0014852,0.0014852,0.0014852
28,1586.06,1.55532,2.08487,1.61807,0.41352,0.52,0.41256,0.1709,1.70495,3.0944,1.68363,0.0014654,0.0014654,0.0014654
29,1637.46,1.56556,2.1756,1.64337,0.4002,0.52,0.36487,0.20303,1.58853,2.55751,1.55775,0.0014456,0.0014456,0.0014456
30,1700.47,1.42039,2.05026,1.49907,0.45877,0.48,0.41183,0.23481,1.55312,2.33007,1.59252,0.0014258,0.0014258,0.0014258
31,1758.03,1.55816,2.22876,1.64019,0.38216,0.52,0.40085,0.20882,1.71858,2.25181,1.7178,0.001406,0.001406,0.001406
32,1808.57,1.53684,2.07509,1.62247,0.49002,0.4,0.41322,0.23739,1.71936,2.28978,1.78946,0.0013862,0.0013862,0.0013862
33,1869.11,1.57551,2.05341,1.63205,0.40247,0.61992,0.4526,0.24375,1.7303,2.4415,1.78087,0.0013664,0.0013664,0.0013664
34,1927.63,1.37983,1.96396,1.4615,0.42254,0.61489,0.43086,0.24481,1.69966,2.24197,1.72587,0.0013466,0.0013466,0.0013466
35,1979.75,1.46331,1.92127,1.51783,0.26347,0.52,0.3035,0.1472,1.71355,3.319,1.66932,0.0013268,0.0013268,0.0013268
36,2032.58,1.55075,1.94508,1.60542,0.3842,0.56,0.36127,0.18944,1.60593,2.86062,1.60656,0.001307,0.001307,0.001307
37,2084.66,1.27296,2.01429,1.37398,0.383,0.52,0.35515,0.18285,1.59277,2.54559,1.61056,0.0012872,0.0012872,0.0012872
38,2157.7,1.35618,1.88453,1.46998,0.3202,0.44,0.27756,0.15646,1.6059,2.70336,1.67907,0.0012674,0.0012674,0.0012674
39,2208.93,1.36133,1.83138,1.44775,0.39959,0.44,0.34172,0.19009,1.59209,3.56455,1.62746,0.0012476,0.0012476,0.0012476
40,2258.86,1.26881,2.00758,1.44048,0.53461,0.44,0.41115,0.24763,1.60881,2.75148,1.63262,0.0012278,0.0012278,0.0012278
41,2310.14,1.36418,1.66497,1.44817,0.5544,0.44,0.39603,0.22414,1.65195,2.72633,1.68243,0.001208,0.001208,0.001208
42,2360.93,1.38761,1.74903,1.47611,0.70578,0.32,0.43715,0.22682,1.68153,2.5108,1.76944,0.0011882,0.0011882,0.0011882
43,2411.15,1.47128,1.95015,1.5697,0.55967,0.68,0.55874,0.28733,1.5687,2.31877,1.60518,0.0011684,0.0011684,0.0011684
44,2461.59,1.41049,1.71254,1.48095,0.70526,0.52,0.58759,0.3238,1.47768,2.09562,1.47849,0.0011486,0.0011486,0.0011486
45,2511.4,1.35857,1.85963,1.3935,0.70283,0.6,0.65001,0.3836,1.44516,1.85892,1.44908,0.0011288,0.0011288,0.0011288
46,2562.13,1.32238,1.56041,1.41876,0.56188,0.68,0.57507,0.32775,1.46357,1.88125,1.41598,0.001109,0.001109,0.001109
47,2619.27,1.21108,1.71378,1.31997,0.70391,0.6,0.59457,0.37964,1.41053,1.96926,1.43729,0.0010892,0.0010892,0.0010892
48,2669.32,1.33613,1.67273,1.4308,0.68366,0.6,0.57454,0.35292,1.39696,2.05114,1.43941,0.0010694,0.0010694,0.0010694
49,2723.51,1.35898,1.63394,1.45222,0.67115,0.6,0.51853,0.34259,1.41489,2.0528,1.46499,0.0010496,0.0010496,0.0010496
50,2780.41,1.35286,1.66903,1.37181,0.50472,0.52,0.43732,0.2708,1.4526,2.55116,1.50833,0.0010298,0.0010298,0.0010298
51,2834.96,1.24249,1.52083,1.38237,0.48625,0.6,0.49404,0.2684,1.579,2.2707,1.62192,0.00101,0.00101,0.00101
52,2885.85,1.27019,1.55926,1.40152,0.54712,0.67662,0.51291,0.28331,1.61652,2.17934,1.6357,0.0009902,0.0009902,0.0009902
53,2930.93,1.25581,1.5311,1.40532,0.59746,0.5939,0.54008,0.29881,1.56456,2.13677,1.61659,0.0009704,0.0009704,0.0009704
54,2975.36,1.21159,1.68172,1.33952,0.61965,0.58688,0.53298,0.29423,1.58286,2.15927,1.65568,0.0009506,0.0009506,0.0009506
55,3019.53,1.25486,1.51439,1.36055,0.69304,0.68,0.61694,0.37206,1.58165,1.80671,1.62817,0.0009308,0.0009308,0.0009308
56,3065.38,1.22838,1.5107,1.35201,0.71814,0.64,0.60508,0.3864,1.58036,1.77532,1.60819,0.000911,0.000911,0.000911
57,3110.67,1.14018,1.62591,1.29379,0.73857,0.64,0.69058,0.41575,1.55236,1.67558,1.53926,0.0008912,0.0008912,0.0008912
58,3156.09,1.23383,1.63429,1.37826,0.69532,0.64,0.63116,0.39187,1.52173,1.74611,1.50359,0.0008714,0.0008714,0.0008714
59,3200.5,1.31201,1.57496,1.43746,0.55309,0.56,0.53753,0.33282,1.47752,1.85806,1.49053,0.0008516,0.0008516,0.0008516
60,3245.35,1.19459,1.4764,1.26737,0.76908,0.56,0.69928,0.44925,1.40395,1.69786,1.47099,0.0008318,0.0008318,0.0008318
61,3289.03,1.24702,1.49927,1.38282,0.80458,0.6,0.71431,0.4328,1.43918,1.52992,1.48215,0.000812,0.000812,0.000812
62,3340.1,1.20837,1.44284,1.37233,0.79353,0.68,0.76761,0.50976,1.36355,1.56905,1.42467,0.0007922,0.0007922,0.0007922
63,3390.59,1.10495,1.40998,1.29461,0.69736,0.73772,0.77885,0.51557,1.34713,1.53929,1.3929,0.0007724,0.0007724,0.0007724
64,3441.12,1.09991,1.44468,1.25438,0.60886,0.68506,0.69588,0.4564,1.44474,1.71321,1.4259,0.0007526,0.0007526,0.0007526
65,3489.94,1.07269,1.35487,1.2332,0.66983,0.64,0.66479,0.448,1.40311,1.67704,1.39952,0.0007328,0.0007328,0.0007328
66,3537.29,1.07148,1.40655,1.23997,0.58231,0.52,0.4942,0.31963,1.57706,2.12709,1.5384,0.000713,0.000713,0.000713
