epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3583.48,1.18456,1.41053,1.32102,0.52857,0.64,0.533,0.34328,1.57914,2.0231,1.54916,0.0006932,0.0006932,0.0006932
68,3631.12,1.1821,1.4198,1.31868,0.71551,0.64,0.68256,0.45095,1.39687,1.65015,1.44387,0.0006734,0.0006734,0.0006734
69,3682.53,1.05955,1.30616,1.2692,0.67748,0.75634,0.69961,0.48336,1.32305,1.55275,1.37372,0.0006536,0.0006536,0.0006536
70,3729.33,1.04603,1.42129,1.22186,0.65173,0.82368,0.70226,0.49185,1.33383,1.54556,1.35763,0.0006338,0.0006338,0.0006338
71,3774.77,0.91604,1.35021,1.10892,0.73305,0.65948,0.71388,0.46443,1.38607,1.59917,1.4178,0.000614,0.000614,0.000614
72,3819.21,1.13222,1.43725,1.24921,0.71301,0.69603,0.70099,0.46276,1.43936,1.61505,1.46431,0.0005942,0.0005942,0.0005942
73,3863.26,1.03583,1.34533,1.21903,0.71872,0.7156,0.70319,0.48986,1.42109,1.66497,1.43982,0.0005744,0.0005744,0.0005744
74,3911.32,1.01804,1.29688,1.24279,0.74516,0.70219,0.6947,0.48327,1.37136,1.65703,1.42052,0.0005546,0.0005546,0.0005546
75,3977.32,1.03998,1.21371,1.2131,0.848,0.66987,0.72697,0.48115,1.35993,1.56001,1.36836,0.0005348,0.0005348,0.0005348
76,4063.03,0.986,1.32206,1.16327,0.70269,0.75643,0.72778,0.48406,1.38579,1.53423,1.36197,0.000515,0.000515,0.000515
77,4110.06,1.02994,1.24932,1.2304,0.80197,0.68,0.70992,0.47327,1.40372,1.52115,1.38965,0.0004952,0.0004952,0.0004952
78,4156.89,0.91963,1.11756,1.1141,0.75331,0.56,0.6461,0.41592,1.43084,1.60976,1.36435,0.0004754,0.0004754,0.0004754
79,4202.65,0.95975,1.32689,1.20745,0.74733,0.52,0.61841,0.36959,1.53517,1.83704,1.48421,0.0004556,0.0004556,0.0004556
80,4248.36,1.13376,1.35138,1.28941,0.57986,0.68,0.61006,0.37221,1.56086,1.81176,1.50342,0.0004358,0.0004358,0.0004358
81,4293.21,1.03122,1.16762,1.23197,0.73314,0.65978,0.69053,0.45199,1.46511,1.56438,1.39292,0.000416,0.000416,0.000416
82,4338.56,1.0244,1.20231,1.20878,0.72703,0.64,0.64237,0.43969,1.44057,1.67492,1.43657,0.0003962,0.0003962,0.0003962
83,4383.88,1.12562,1.41475,1.3009,0.7539,0.64,0.70545,0.48683,1.44596,1.5239,1.42608,0.0003764,0.0003764,0.0003764
